,label:,NE
0,CARDINAL,3
1,PERCENT,15%
2,DATE,nov 17  2020
3,GPE,alabama
4,DATE,april 9
5,QUANTITY,a little over an ounce
6,CARDINAL,5
7,CARDINAL,3
8,CARDINAL,6 8 billion
9,DATE,3 to 12 years old
10,CARDINAL,3
11,PERCENT,15%
12,DATE,march 25
13,PERCENT,40%
14,CARDINAL,3
15,GPE,beitbridge
16,DATE,march 25
17,FAC,@coles
18,PERCENT,50%
19,CARDINAL,2
20,PERCENT,100%
21,QUANTITY,25 g
22,DATE,wednesday
23,DATE,today
24,PERCENT,20%
25,MONEY,35
26,CARDINAL,50
27,MONEY,$13 99
28,PERCENT,35%
29,PERCENT,35%
30,PERCENT,40%
31,PERCENT,20%
32,PERCENT,15%
33,DATE,#mar18 2021
34,MONEY,35
35,CARDINAL,two
36,CARDINAL,3
37,DATE,next day
38,CARDINAL,250
39,MONEY,£0 48p
40,PERCENT,25%
41,PRODUCT,maskairaid
42,DATE,this week
43,TIME,1 #hour
44,EVENT,31st march
45,DATE,the end of may
46,PERCENT,40%
47,MONEY,35
48,PERSON,@tami quigley
49,PERCENT,100%
50,DATE,today
51,CARDINAL,3 million
52,DATE,129 billion/month
53,GPE,uk
54,PERCENT,30%
55,MONEY,35
56,CARDINAL,3
57,PERCENT,40%
58,PERCENT,30%
59,DATE,this weekend
60,CARDINAL,7 8
61,DATE,one day
62,MONEY,rs 42 lacs
63,MONEY,us$ 58 k
64,QUANTITY,44 cr
65,MONEY,($ 6 mln
66,CARDINAL,4
67,DATE,this week
68,CARDINAL,one
69,NORP,american
70,PERCENT,15%
71,CARDINAL,50
72,MONEY,$13 99
73,PERCENT,about 50 percent
74,PERCENT,30%
75,CARDINAL,50
76,MONEY,$13 99
77,CARDINAL,24
78,PERSON,ronspina
79,LOC,the red sea
80,CARDINAL,3
81,CARDINAL,one
82,GPE,yuba county
83,CARDINAL,13
84,TIME,hours
85,MONEY,$20 000
86,MONEY,$12 250
87,CARDINAL,2
88,MONEY,35
89,NORP,peruvian
90,MONEY,35
91,CARDINAL,three
92,NORP,african
93,CARDINAL,66
94,NORP,kentucky
95,PERSON,rand paul
96,PERSON,anthony fauci
97,EVENT,the covid-19 pandemic
98,DATE,this week
99,QUANTITY,6 inch
100,CARDINAL,2
101,CARDINAL,2
102,CARDINAL,3
103,TIME,1 #hour
104,PERCENT,95 30%
105,ORDINAL,2nd
106,MONEY,35
107,PERCENT,15%
108,DATE,today
109,PERCENT,35%
110,PERCENT,25%
111,MONEY,$4 95
112,PERSON,@tami quigley
113,PERCENT,15%
114,DATE,wednesday
115,PERSON,aiko
116,PERSON,kalibali
117,DATE,last weekend
118,CARDINAL,300
119,GPE,burao
120,NORP,canadian
121,CARDINAL,two
122,TIME,9pm
123,CARDINAL,two
124,PERCENT,40%
125,PERCENT,15%
126,TIME,the last 72 hours
127,DATE,february 2021
128,CARDINAL,400
129,PERCENT,3000%
130,DATE,last year
131,PERCENT,15%
132,CARDINAL,3
133,DATE,more than a year
134,CARDINAL,two
135,DATE,wednesday
136,NORP,novarian
137,MONEY,$51 50
138,NORP,spanish
139,DATE,october 27
140,MONEY,35
141,PERSON,rand paul
142,PERCENT,30%
143,TIME,11:59:59 pm pst
144,PERSON,shasta dreese
145,CARDINAL,129 billion
146,DATE,april 10th
147,GPE,alabama
148,DATE,april 9
149,TIME,2 filter
150,NORP,american
