,date,user,location,text,label
0,2021-03-17 04:45:34,armor_eos,,"California Coronavirus Updates: Organization Recorded Nearly 4,000 hate Incidents Against Asian And Pacific Islande… https://t.co/hKCJgiqKUD",1
1,2021-03-17 02:39:28,everviolet,"California, USA","Free organic #facemask with a purchase of $75 or more. Great for women, men and children, shop now to protect our c… https://t.co/BAEAW94eol",3
2,2021-03-22 03:30:04,Moomettes,"New England, USA",Baseballs Face Mask Red White Blue #Baseball #Sports Handmade USA https://t.co/0D8h1GmR6t #etsy #etsyshop… https://t.co/CUzAb7XBqg,2
3,2021-03-24 00:04:50,MaskAirAid,"Sausalito, CA","""Fishin' In The Night"" available at MaskAirAid.  Shop now 👉 https://t.co/6z8oxLchOy  
FREE SHIPPING!  
#facemasks… https://t.co/JYvwap63zT",3
4,2021-03-22 13:15:30,enousc,𝚃𝚑𝚎 𝙼𝚊𝚝𝚛𝚒𝚡  ✘  ❰❶❾❽❹❱,"#BristolProtest is FAKE!

They are trying to pin it on those who oppose everything #COVID19-related.

Notice how ma… https://t.co/YPDEWoDl5Z",1
5,2021-03-22 18:51:03,LeeHillerLondon,Arkansas,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing… https://t.co/Rc0EWXMgyq",1
6,2021-03-24 11:38:00,MoamalStore,,"Dm us to place your order

#skateboarding #skateboard #apparel #tshirt #tshirts #hoodie #facemask #facemasksforsale… https://t.co/vHqZuZabc1",0
7,2021-03-22 03:04:05,MarinaAmdream,,"""Believe!! Get you this ""BELIEVE"" mask we have designed &gt; https://t.co/eonKc8bJWR."" Marina Amdream.  #shoponline… https://t.co/HIcVjBcDWe",2
8,2021-03-21 11:57:51,urbanpearlgirl,Dallas TX USA,Red Face Mask Fitted Over the Head Adjustable Blue Face Covering Colorful Aboriginal Art Print Scarlet Crimson Ruby… https://t.co/pv7JzKT2NR,2
9,2021-03-18 12:39:33,LloydMungoni,Beitbridge,"Capfuce : Beitbridge East

Humanitarian Work! 18/03/21

Disseminating information to the community on current lockd… https://t.co/ch72MeAjrs",0
10,2021-03-18 12:38:28,TooHighFashion,,"Shutting up increases the effectiveness of this face mask.

#COVID #COVID19 #coronavirus #facemask #facemasks #mask… https://t.co/mqehK0bw5Q",1
11,2021-03-22 20:13:27,pacmedpro,,"The 3M 8200 N95 Mask is available in 20-count &amp; 160-count from our website at https://t.co/SDl25LCN7d
.
.
.
#3M… https://t.co/7Q5XP6gyJW",1
12,2021-03-18 03:19:04,OrientHealthca1,,"Nano film washable mask can be reuse,wash by washing detergent or disinfectant.
Please rinse it with clear water. I… https://t.co/2gEtDHdK2w",4
13,2021-03-23 17:01:03,urbanpearlgirl,Dallas TX USA,Multi Color Face Mask With Toggle Colorful Cotton Aboriginal Art Print Adjustable Over The Head Face Covering Austr… https://t.co/WwDshlKEiu,4
14,2021-03-20 18:36:44,FaceCoverUS,"North Bergen, NJ, USA","Rustic Plaid!
Shop now at https://t.co/T3R8xCp6Ry
#facecover #facemasks #facecoverings #giftidea  #supportlocal… https://t.co/JsV9LL70cX",2
15,2021-03-17 15:04:30,10onten,"Mumbai, India","Back in stock! Our famous lurex mask is now back by popular demand.
You asked for it and we made it happen! 
Happy… https://t.co/lqH6tsvDkA",2
16,2021-03-24 18:16:01,PCMCamisetas,El Mundo,"20% Off everything
#gifts #wallart #apparel #homedecor #office #tech #bags #furniture #tabletop #outdoor #lifestyle… https://t.co/upuLLUnLho",0
17,2021-03-20 23:07:16,Anon1KENYA,#ExpectUs!,"Here is one reason for rising Corona virus infections #covid19Ke 

Our leaders are the worst examples of breaking p… https://t.co/1Y33DbHm93",1
18,2021-03-18 15:19:26,masque242,Europe,"#Blue #red #white black #tartan Face #mask, #fitted cotton #Reusable #washable facemask, tartan handmade dust face… https://t.co/AFE4TYB6Su",4
19,2021-03-20 17:45:04,monnprintde,,"City of Dallas' Skyline Artwork Printed Non-medical Face Masks at #redbubble by MonnPrint. 
https://t.co/5vc22YkAPy… https://t.co/iXMJI3piDP",4
20,2021-03-17 14:34:21,KashmiraLasindu,,"sarcastic face masks

product link : https://t.co/nZ2l1YjnJU

#RBandME  #redbubble #RedbubbleGiftIdeas… https://t.co/q5VX88Uyk2",0
21,2021-03-24 12:02:18,urbanpearlgirl,Dallas TX USA,Reusable Adjustable Navy Stars Face Mask White Stars and Stripes Batik Cotton Over the Head Fashion Face Covering… https://t.co/nq7RCikeus,4
22,2021-03-19 22:10:10,lornawardnews,UK,"A mourning period is all very well, but will she impose #facemasks &amp; procure the #vaccine for her people &amp; turn her… https://t.co/SYPHWpjyGo",0
23,2021-03-22 13:24:02,prescriptiondoc,"Bolton, England",How effective are #facemasks against the spread of #COVIDー19 | https://t.co/PS7SuL643A https://t.co/UWWEjEGkfQ,1
24,2021-03-21 17:30:08,taicheUK,Turkey and UK,"#Facemasks
Artistic Heart Bouquet Of Pink and White Roses #roses #white #pink #bouquet #rosebouquet #pastelcolors… https://t.co/akHkm0YMxt",2
25,2021-03-23 04:56:55,tamitrailscapes,"Allentown, Pennsylvania",See this Instagram photo by @tami.quigley https://t.co/6WDdCu5rSx Livin' The Dream #TuesdayVibe #deer #whitetails… https://t.co/wZjs4u5u8n,2
26,2021-03-24 17:09:10,FaceMaskStore,"South West, UK","Thank you to @aromastickers for these incredible scented face mask stickers. We love them 🍊😏😍

Soon to arrive in ou… https://t.co/81OVBwOQTz",2
27,2021-03-20 19:05:04,Moomettes,"New England, USA","Get Ready for Spring with Handmade Cotton Face Masks ! https://t.co/XGzfE3jswz
#etsy #etsyshop #ROCTeam #Facemasks… https://t.co/eJkO1cMliK",4
28,2021-03-21 21:02:03,eVisitorGuide,"CHI, MKE, STL & Nashville","Hey...If anyone needs #PPE, our friends at @nolapub have #facemasks for sale. The regular disposable masks are $35… https://t.co/HqeHdt7Re5",3
29,2021-03-23 17:36:00,Health_PromoNow,,Face Masks In Stock and On Sale! Order While Supplies Last!  https://t.co/63X7NgtKWa  #masks #facemasks #facemask… https://t.co/tzRx8BAz3g,3
30,2021-03-20 14:30:22,Moomettes,"New England, USA",Baseballs Face Mask Red White Blue #Baseball #Sports Handmade USA https://t.co/0D8h1GmR6t #etsy #etsyshop… https://t.co/3x5r2XZVVU,4
31,2021-03-17 20:59:44,urbanpearlgirl,Dallas TX USA,Route 66 Face Mask With Toggle Adjustable Over The Head Cotton Fashion Car Masks https://t.co/vDUjA7GEaC #facemask… https://t.co/Kv9vpJYzW3,4
32,2021-03-21 04:26:04,HikeOurPlanet,On The Trail in Arkansas,"🌸✋🌼😷💮👐🌸😷🌼✋💮
#facemasks #facemasks4all
#gifts #shoppingonline #healthandsafety #onlineshopping #socialdistancing… https://t.co/76st6cDPjs",1
33,2021-03-24 20:36:00,Health_PromoNow,,"Shop Price Drops on In Stock Face Masks and Get Free Shipping, Now!  https://t.co/63X7Ngca4C  #masks #facemasks… https://t.co/hkzHM7ATN7",3
34,2021-03-22 06:58:58,urbanpearlgirl,Dallas TX USA,Red Face Mask Fitted Over the Head Adjustable Blue Face Covering Colorful Aboriginal Art Print Scarlet Crimson Ruby… https://t.co/bVkqsrDPRv,2
35,2021-03-23 09:01:36,CushionPrint,"Nottingham, UK","3 Ply Surgical Type II R Face Masks  
UK STOCK FOR NEXT DAY DELIVERY
**Min. order qty 250. Prices from £0.48p each… https://t.co/OD0wgZN5oV",4
36,2021-03-24 20:02:46,urbanpearlgirl,Dallas TX USA,Red Face Mask Reusable Washable Cotton Over The Head Face Mask Scarlet Crimson Ruby Red Print Face Covering… https://t.co/VhxXbd78sd,4
37,2021-03-21 11:30:11,Moomettes,"New England, USA",#Kids #Soccer Balls Face Mask - #Sports - Blue -  Cotton - Adjustable Ear Loops Fitted #Facemask - Unisex - Child -… https://t.co/krADmHOcEv,4
38,2021-03-20 20:45:04,Moomettes,"New England, USA",#Daisies Face Mask Floral White Yellow #Flowers on Blue Adjustable Soft Elastic #Facemask Handmade USA… https://t.co/515kcAnePi,4
39,2021-03-19 12:47:04,mattgrayc64,UK,"How long is “the long run” though?
What does “not going to be permanent permanent” even mean?
#COVID19… https://t.co/t0pqNvmcBu",1
40,2021-03-24 07:14:32,NST_Online,Malaysia,#NSTnation Sultan Ibrahim said the people of Johor would each receive one pack containing two pieces of antibacteri… https://t.co/LHsS8XZ8Uu,1
41,2021-03-18 15:20:07,ag_geeks,"Philadelphia, PA","Mercenary 100%Cotton Face Mask with Filter Pocket https://t.co/U8t5diU2lg via 
@Etsy  #facemask #mask #masks… https://t.co/ikvJCjKDaO",4
42,2021-03-17 23:19:19,AtlPartyCrasher,"Atlanta, GA",Beyoncé Shows Off A New Way To Wear A #FaceMask https://t.co/5QpShBwnQf,2
43,2021-03-17 18:33:02,rogerscott,Los Angeles,"Where did the flu go?
https://t.co/BmUIGFeS4F
#flu #health #pandemic #shots #vaccinations #N95 #facemask",1
44,2021-03-19 15:11:32,FabricFrames,"Deptford, NJ USA",https://t.co/HEUrByRNPm #zazzle #custom #dressage #horse #riding #Mask #facemask #facemasks #equine #equestrian… https://t.co/C39Q7rcr2Q,0
45,2021-03-24 15:19:26,masque242,Europe,"#Blue and red #tartan #Face #mask, #fitted cotton Reusable - washable #facemask, tartan #handmade dust face mask, h… https://t.co/0eqgPAzmkr",4
46,2021-03-17 13:00:15,RodanFieldsHQ,"San Francisco, CA","Your skin’s lucky charm! 🍀 Calm, smooth skin is even better than a pot of gold. 

Who's wearing green for… https://t.co/KEFRVawtKf",0
47,2021-03-18 02:03:23,ronniespina,"Montréal, Québec, Canada ",Check out ronspina's video! #TikTok https://t.co/STwztvhcrw #cool #fun #viral #Trending #blue #tiedye #facemask… https://t.co/uKrGaw5Yyb,0
48,2021-03-20 09:38:29,Katheri12291962,"Melbourne, Victoria",More masks here! #pleasecleanupafteryourself #PleaseTakeThisVirusSeriously #pleaseputitinthrbin #facemasks… https://t.co/b9RbF6boSp,1
49,2021-03-17 17:25:03,Moomettes,"New England, USA",#Lobster Face Mask Red Adjustable Soft Elastic #Facemask Handmade USA https://t.co/8bJGazTZqa #etsyshop… https://t.co/81fLSxZLoM,4
